# Simulation data for the Wright-Fisher star walk.
# By mean l, mean t or mean h we refer to l bar, t bar or h bar which are the mean length, time and height in the considered landscape (starting from randomly chosen nodes; in practice, there is a fixed number of walks per starting node). 
# Fixation probability within individual demes is Wright-Fisher fixation probability (with deterministic steady-state population size) under the diffusion approximation.
# If the fixation probability within a deme is inferior to 1e-150, the overall fixation probability is set to 0.
# landscape considered: landscape A (L = 3) which corresponds to the 9th landscape in the file <landscapes.pickle>.
# Death rates: gw = gm = 0.01. 
# Within each landscape, FIXED number of walks per starting node = 10^5.
# alpha = mI / mO = 0.01.
# Carrying capacity C of each deme = 20.
# See Marrec et al (2021) in PRL for further details about the fixation dynamics within stars. 
# (0) mean l (1) mean h (2) mean t (3) SD_l (4) SD_h (5) SD_t (6) mean SD_h_i (7) Number of demes D
1.10081125 2.336336886294743 12.13204 0.8430959861574955 0.18134810410163826 20.739677141648222 0.09253533653224028 1
1.103355 2.3419480385370353 21.38663875 0.8394002287185689 0.1786084950826443 39.54753790346842 0.08401758619338769 2
1.1036725 2.344378786683789 29.49309875 0.8377034157401633 0.1773534640535592 56.3342103199711 0.07887848108079785 3
1.10686375 2.3464454734579627 43.24677 0.8397820484689219 0.1762530095461293 84.4014513030587 0.07368566106665483 5
1.1091325 2.3477920498416545 54.8499825 0.8415833870992497 0.1755191895507275 108.17886082656787 0.07017656345388058 7
1.11084125 2.3487350038508046 72.59982125 0.8430868681793833 0.1749973244014409 144.91404254123762 0.06702948069598333 11
1.11257625 2.3495933273620113 93.6329075 0.8444822898897882 0.17451651059792056 188.03815951962054 0.06400113595528012 18
1.11444625 2.350445641606998 113.76388625 0.8458166502619668 0.17403355983334484 229.02255701394577 0.06162968165704919 29
1.11514875 2.350687013796308 131.210435 0.8465500666692346 0.17389578725642016 265.3385498420115 0.060155194579006685 48
1.11542875 2.35088531957838 144.4961775 0.8467924501769954 0.17378226391190119 292.9662834437452 0.05902420035569112 78
1.11522375 2.350734086381026 154.8765375 0.846970918885471 0.17386886697301107 314.01524901179044 0.058400763643377755 127
1.11585625 2.3510225311548623 161.06023375 0.8473022361218753 0.17370353899161362 326.36344754426403 0.057815032117555586 206
1.11556 2.350951922277943 165.9289325 0.847154582352588 0.17374406871163328 336.7194620293318 0.057634519397266194 335
1.11509 2.350964942354555 167.9639775 0.8466769111646772 0.17373659801326302 340.6010248847578 0.057303430456489515 545
1.11546375 2.3509934863686466 169.96298125 0.8470459683166752 0.17372021541191657 345.0170341600885 0.05724681019914111 885
1.1164825 2.3510821230439203 170.90155375 0.8479250127170095 0.17366930336143507 346.6805253752417 0.05754390315378766 1000
1.115565 2.3510200272940054 171.2775275 0.8470476555509978 0.17370497687048497 347.3627096471192 0.05736236466376286 1438
1.1162075 2.3510701045116806 172.14498 0.8476398509663905 0.173676210213325 349.65783421208647 0.057243036389763885 2335
1.11514625 2.351102654703175 171.5515325 0.8465356407802402 0.1736575015931639 348.3244984417793 0.05721699612982823 3792
1.11501875 2.3509804662920524 171.81619125 0.8466253227656109 0.17372768894977944 349.24170110792335 0.05705107796457183 6158
1.11618625 2.351259897166669 172.9256625 0.8474089953008439 0.17356701017803564 351.07155847383245 0.05724935690699053 10000
